week_start_target,채수위치,scenario_id,scenario_title,조건,예상,권고_전체,inferred_activity_buckets,manual_activity_plan_메모,manual_담당_부서
2025-09-15,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 10631 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-09-22,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-09-22,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-09-22,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 11287 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-09-29,문의,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 9062 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-10-06,문의,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-10-06,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-10-06,문의,SX,모델 기반 위험,"관심 이상 확률 약 98%, 예측 세포수(대략) 9561 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-10-13,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-10-13,문의,SX,모델 기반 위험,"관심 이상 확률 약 98%, 예측 세포수(대략) 8977 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-10-20,문의,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-10-20,문의,SX,모델 기반 위험,"관심 이상 확률 약 98%, 예측 세포수(대략) 11020 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-10-27,문의,SX,모델 기반 위험,"관심 이상 확률 약 96%, 예측 세포수(대략) 6564 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-11-03,문의,SX,모델 기반 위험,"관심 이상 확률 약 93%, 예측 세포수(대략) 3818 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-11-10,문의,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-11-10,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-11-10,문의,SX,모델 기반 위험,"관심 이상 확률 약 92%, 예측 세포수(대략) 4270 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-11-17,문의,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-11-17,문의,SX,모델 기반 위험,"관심 이상 확률 약 91%, 예측 세포수(대략) 3337 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-11-24,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-12-01,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-12-08,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-12-15,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-12-22,문의,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-07-01,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-07-01,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-07-08,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-07-08,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-07-15,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-07-22,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-07-22,추동,SX,모델 기반 위험,"관심 이상 확률 약 67%, 예측 세포수(대략) 912 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-07-29,추동,SX,모델 기반 위험,"관심 이상 확률 약 98%, 예측 세포수(대략) 3990 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-05,추동,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-05,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-08-05,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-08-05,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 6496 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-12,추동,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-12,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-08-12,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 12895 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-19,추동,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-19,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-08-19,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 7803 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-08-26,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-08-26,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 5183 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-02,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-02,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 18890 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-09,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-09,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 21401 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-16,추동,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-16,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-16,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2024-09-16,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 17476 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-23,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-09-23,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-23,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 49062 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-30,추동,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-09-30,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-09-30,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 23565 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-07,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-10-07,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 12494 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-14,추동,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-14,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-10-14,추동,SX,모델 기반 위험,"관심 이상 확률 약 100%, 예측 세포수(대략) 9305 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-21,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2024-10-21,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-10-21,추동,SX,모델 기반 위험,"관심 이상 확률 약 98%, 예측 세포수(대략) 5299 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-10-28,추동,SX,모델 기반 위험,"관심 이상 확률 약 84%, 예측 세포수(대략) 1021 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2024-11-04,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-11-11,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-11-18,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2024-11-25,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-02,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-09,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-16,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-23,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2024-12-30,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-01-06,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-01-13,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-02-03,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-02-10,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-02-17,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-02-24,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-03-03,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-03-10,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-03-17,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-03-24,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-03-31,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-04-07,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-04-14,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-04-21,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-04-28,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-05-05,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-05-12,추동,S0,특이 패턴 없음,주요 시나리오 조건 미충족,상시 모니터링 유지,정기 관측 유지,모니터링·분석,,
2025-05-19,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-05-19,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-05-26,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-02,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-09,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-16,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-06-16,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-23,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-06-23,추동,S4,Chl-a·pH 상승,클로로필-a 및 pH 상승 추세,"조류 생체량 증가 신호, 유해남조류 증가 가능성",조류 종 분석 강화 | 발령단계 전환 모니터링,모니터링·분석,,
2025-06-30,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-07-07,추동,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-07-07,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-07-14,추동,S1,폭염·고일조·방류 감소,"최근 4주 평균 수온 높음, 일조 증가 추세, 방류 감소 추세",정체·광합성 유리 → 남조류 증가 가능성,관심 단계 사전 대응 검토 | 현장 채수·종조성 모니터링 강화 | 취수장·정수 약품 투입 계획 점검,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-07-14,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
2025-07-14,추동,SX,모델 기반 위험,"관심 이상 확률 약 68%, 예측 세포수(대략) 1950 cells/mL",다음 주 관심 이상 가능성 상대적으로 큼,해당 지점 수질 모니터링 강화 | 취수장 사전 대응·활성탄 등 준비 | 방류량 조정 가능성 검토,모니터링·분석; 물순환·방류·유입; 약품·활성탄; 취수·위치,,
2025-07-21,추동,S2,집중호우·유입 증가,최근 4주 강수·유입 증가 추세,"단기 혼합으로 세포 수 변동 가능, 영양염 유입에 따른 지연 증가 위험",1~2주 후 재예측·채수 주기 단축 | 탁도·유해남조류 동시 추적,모니터링·분석; 물순환·방류·유입,,
2025-07-21,추동,S3,방류 감소·수온 높음,방류 감소 추세와 고수온,체류시간 증가로 조류 증식 가능성,수문·방류 운영 검토 | 취수 수심·위치 조정 가능성 검토,물순환·방류·유입; 취수·위치,,
